"Control","Tema","Titulo","Descripcion","Objetivo","Cobertura","Capas","Colectores"
"A.5.9","Organizacional","Inventario de informacion y otros activos asociados","Debe elaborarse y mantenerse un inventario de la informacion y de los demas activos asociados, incluidos sus propietarios. El inventario debe ser exacto, estar actualizado y ser coherente con los demas inventarios de la organizacion.","Identificar y mantener un inventario de activos, incluido el software instalado, con su ubicacion, descripcion y propietario.","Total","L1, L2, L3, L4","L1-01, L2-01, L3-01, L4-01, L4-02, L4-06"
"A.5.10","Organizacional","Uso aceptable de la informacion y otros activos asociados","Deben identificarse, documentarse e implementarse reglas para el uso aceptable y los procedimientos de manejo de la informacion y de los activos asociados.","Detectar software fuera de politica instalado en el servidor y artefactos sin proposito declarado.","Parcial","L4","L4-01, L4-03, L4-06"
"A.5.15","Organizacional","Control de acceso","Deben establecerse e implementarse reglas para controlar el acceso fisico y logico a la informacion y a los activos asociados, con base en los requisitos de seguridad y de negocio.","Verificar reglas de acceso logico a sistemas y recursos compartidos.","Parcial","L6, L7","L6-01, L7-01"
"A.5.16","Organizacional","Gestion de identidad","El ciclo de vida completo de las identidades debe gestionarse: alta, modificacion y baja oportuna de identidades de personas y de sistemas, evitando identidades duplicadas o huerfanas.","Identificar cuentas locales, huerfanas o inactivas.","Parcial","L6","L6-01"
"A.5.17","Organizacional","Informacion de autenticacion","La asignacion y gestion de la informacion de autenticacion debe controlarse mediante un proceso que incluya asesorar al personal sobre su manejo apropiado, su confidencialidad y su rotacion.","Evaluar politica de contrasenas, caducidad y almacenamiento de credenciales.","Parcial","L6","L6-01"
"A.5.18","Organizacional","Derechos de acceso","Los derechos de acceso a la informacion y a otros activos deben aprovisionarse, revisarse, modificarse y retirarse conforme a la politica de control de acceso de la organizacion.","Revisar membresias de grupos privilegiados locales y su vigencia.","Parcial","L6","L6-01"
"A.5.21","Organizacional","Gestion de la seguridad en la cadena de suministro de TIC","Deben definirse e implementarse procesos y procedimientos para gestionar los riesgos de seguridad asociados a la cadena de suministro de productos y servicios de tecnologia de la informacion y las comunicaciones.","Identificar repositorios de paquetes de terceros marcados como confiables y la dependencia de proveedores.","Indicio","L4","L4-02, L4-05"
"A.5.23","Organizacional","Seguridad de la informacion en servicios en la nube","Los procesos de adquisicion, uso, gestion y salida de servicios en la nube deben establecerse conforme a los requisitos de seguridad de la organizacion.","Detectar agentes de sincronizacion en nube no autorizados que constituyan canales de datos fuera de control.","Indicio","L4","L4-01"
"A.5.25","Organizacional","Evaluacion y decision sobre eventos de seguridad de la informacion","La organizacion debe evaluar los eventos de seguridad de la informacion y decidir si se clasifican como incidentes de seguridad de la informacion.","Senalar indicadores de compromiso que deben escalarse al proceso de gestion de incidentes.","Indicio","L4, L5, L8","L4-03, L4-04, L5-02, L8-01"
"A.5.28","Organizacional","Recoleccion de evidencia","La organizacion debe establecer e implementar procedimientos para la identificacion, recoleccion, adquisicion y preservacion de evidencia relacionada con eventos de seguridad de la informacion.","Verificar retencion e integridad de los registros que constituirian evidencia ante un incidente.","Parcial","L8","L8-01"
