"Nombre","Version","Publicador","Estado","FechaFinSoporte","DiasDesdeEOL","Severidad","Nota","FechaInstalacion"
"SAP Business One Components Wizard","10.00.201.102","SAP","Soportado / no catalogado","",,"","",""
"Microsoft SQL Server 2019 (64-bit)","","Microsoft Corporation","Soportado / no catalogado","",,"","",""
"Notepad++ (64-bit x64)","8.9.2","Notepad++ Team","Soportado / no catalogado","",,"","",""
"obs-browser-plus 3.23.9","3.23.9","OBS","Soportado / no catalogado","",,"","",""
"Microsoft OneDrive","26.134.0713.0004","Microsoft Corporation","Soportado / no catalogado","",,"","",""
"WinRAR 6.24 (64-bit)","6.24.0","win.rar GmbH","Soportado / no catalogado","",,"","",""
"Microsoft SQL Server 2019 Setup (English)","15.0.2000.5","Microsoft Corporation","Soportado / no catalogado","",,"","","2023-03-08"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Microsoft Corporation","Soportado / no catalogado","",,"","","2025-11-03"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Microsoft Corporation","Soportado / no catalogado","",,"","","2023-05-25"
"VMware Tools","11.3.5.18557794","VMware, Inc.","Soportado / no catalogado","",,"","","2022-06-14"
"Microsoft VSS Writer for SQL Server 2019","15.0.2000.5","Microsoft Corporation","Soportado / no catalogado","",,"","","2023-03-08"
"Microsoft SQL Server 2019 T-SQL Language Service","15.0.2000.5","Microsoft Corporation","Soportado / no catalogado","",,"","","2023-03-08"
"SAP Crystal Reports runtime engine for .NET Framework (64-bit)","13.0.32.4286","SAP","Soportado / no catalogado","",,"","","2025-01-29"
"Azure Data Studio","1.47.0","Microsoft Corporation","Soportado / no catalogado","",,"","","2023-12-09"
"Microsoft Visual Studio Installer","3.14.2086.54749","Microsoft Corporation","Soportado / no catalogado","",,"","","2025-11-03"
"Microsoft OLE DB Driver for SQL Server","18.7.4.0","Microsoft Corporation","Soportado / no catalogado","",,"","","2025-11-03"
"Microsoft Access database engine 2010 (English)","14.0.7015.1000","Microsoft Corporation","FUERA DE SOPORTE","2020-10-13","2129","High","Motor de base de datos Access fuera de soporte. Usado con frecuencia como puente ODBC/OLEDB entre aplicaciones.","2023-05-24"
"Microsoft SQL Server 2012 Native Client","11.4.7462.6","Microsoft Corporation","FUERA DE SOPORTE","2024-07-09","764","High","Version de SQL Server fuera de soporte extendido.","2023-03-08"
"Instalador","1.0.0","Default Company Name","Soportado / no catalogado","",,"","","2025-02-03"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61000","Microsoft Corporation","Soportado / no catalogado","",,"","","2023-05-25"
"SQL Server Management Studio 21","21.6.17","Microsoft Corporation","Soportado / no catalogado","",,"","","2025-11-03"
"DevExpress Components 24.2","24.2.7","Developer Express Inc.","Soportado / no catalogado","",,"","",""
"SAP Business One Crystal Report Integration Package","1.00.0000","SAP AG","Soportado / no catalogado","",,"","","2023-10-23"
"BOERuntime For Business One (64 bit)","1.00.0000","SAP AG","Soportado / no catalogado","",,"","","2023-10-19"
"SAP Business One Client (64-bit)","","SAP","Soportado / no catalogado","",,"","","2025-01-29"
"SAP Business One Data Transfer Workbench x64","1000.00.201","SAP","Soportado / no catalogado","",,"","","2025-02-03"
"SAP Business One Browser Access Server Gatekeeper (64-bit)","100","SAP","Soportado / no catalogado","",,"","","2025-01-29"
"SAP Business One DI API (64-bit)","","SAP","Soportado / no catalogado","",,"","","2025-01-29"
"Microsoft Edge","151.0.4129.78","Microsoft Corporation","Soportado / no catalogado","",,"","","2026-08-11"
"Microsoft Edge WebView2 Runtime","151.0.4129.78","Microsoft Corporation","Soportado / no catalogado","",,"","","2026-08-11"
"SMS-Agent-Py3","","Huawei Technologies Co., Ltd.","Soportado / no catalogado","",,"","",""
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664","12.0.40664.0","Microsoft Corporation","Soportado / no catalogado","",,"","",""
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35211","14.44.35211.0","Microsoft Corporation","Soportado / no catalogado","",,"","",""
"SAP Business One Client Agent","1.0.1.6","SAP","Soportado / no catalogado","",,"","","2023-10-12"
