"Grupo","Metrica","Valor","Unidad","Detalle","Estado"
"Disco","% disk time","0.24","","min=0.15 max=0.49 muestras=5","Info"
"CPU","% processor time","6.23","","min=4.52 max=7.74 muestras=5","Info"
"CPU","processor queue length","0","","min=0 max=0 muestras=5","Info"
"Sistema","context switches/sec","30460.24","","min=27279.83 max=38362.68 muestras=5","Info"
"Memoria","% committed bytes in use","85.8","","min=85.68 max=85.97 muestras=5","Info"
"Memoria","available mbytes","9682.6","","min=9457 max=9840 muestras=5","Info"
"Disco","avg. disk queue length","0.01","","min=0.01 max=0.03 muestras=5","Info"
"Memoria","TotalFisica","131071","MB","","Info"
"Memoria","EnUso","121227","MB","92.5% del total","Info"
"Memoria","Disponible","9844","MB","7.5% libre","ADVERTENCIA"
"Memoria","ArchivoPaginacion","19456","MB","","Info"
"TopMemoria","sqlservr","98142.5","MB","PID=5608 Hilos=152 Compania= Ruta=","Info"
"TopMemoria","tomcat8","1203.3","MB","PID=3504 Hilos=277 Compania= Ruta=","Info"
"TopMemoria","SSMS","897.1","MB","PID=24864 Hilos=67 Compania= Ruta=","Info"
"TopMemoria","SSMS","881.7","MB","PID=39092 Hilos=58 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","669.6","MB","PID=64852 Hilos=49 Compania= Ruta=","Info"
"TopMemoria","java","663.3","MB","PID=10328 Hilos=110 Compania= Ruta=","Info"
"TopMemoria","claude","654.3","MB","PID=66504 Hilos=34 Compania=Anthropic PBC Ruta=C:\Users\svalle\.local\bin\claude.exe","Info"
"TopMemoria","SAP Business One","579.6","MB","PID=50608 Hilos=47 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","544.2","MB","PID=22212 Hilos=45 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","525.2","MB","PID=84940 Hilos=35 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","489.8","MB","PID=84500 Hilos=35 Compania= Ruta=","Info"
"TopMemoria","MsMpEng","477.8","MB","PID=43228 Hilos=64 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","464.1","MB","PID=34700 Hilos=38 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","458.8","MB","PID=85480 Hilos=35 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","455.5","MB","PID=83648 Hilos=37 Compania= Ruta=","Info"
"TopCPU","claude","550.3","seg CPU acumulados","PID=66504 Ruta=C:\Users\svalle\.local\bin\claude.exe","Info"
"TopCPU","msedge","300.3","seg CPU acumulados","PID=56580 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","explorer","154","seg CPU acumulados","PID=18692 Ruta=C:\Windows\Explorer.EXE","Info"
"TopCPU","conhost","150.8","seg CPU acumulados","PID=18480 Ruta=C:\Windows\system32\conhost.exe","Info"
"TopCPU","powershell","92.5","seg CPU acumulados","PID=86420 Ruta=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","Info"
"TopCPU","msedge","41","seg CPU acumulados","PID=30992 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","msedge","35.2","seg CPU acumulados","PID=34068 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","msedge","33.4","seg CPU acumulados","PID=53608 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","RuntimeBroker","21.4","seg CPU acumulados","PID=59240 Ruta=C:\Windows\System32\RuntimeBroker.exe","Info"
"TopCPU","SearchApp","16.9","seg CPU acumulados","PID=59208 Ruta=C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","Info"
"TopCPU","msedge","10.7","seg CPU acumulados","PID=17740 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","OneDrive","10.3","seg CPU acumulados","PID=68472 Ruta=C:\Program Files\Microsoft OneDrive\OneDrive.exe","Info"
"TopCPU","TabTip","6.7","seg CPU acumulados","PID=57816 Ruta=","Info"
"TopCPU","sihost","4.3","seg CPU acumulados","PID=57196 Ruta=C:\Windows\system32\sihost.exe","Info"
"TopCPU","msedge","4.1","seg CPU acumulados","PID=49232 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"Sistema","ProcesosActivos","408","","","Info"
"Sistema","HilosTotales","5381","","","Info"
"Sistema","Identificadores","208337","","","Info"
"Disco","Volumen C:","11.6","% libre","40.48 GB libres de 349.9 GB","ADVERTENCIA"
"Disco","Volumen D:","79.3","% libre","7.92 GB libres de 10 GB","OK"
"Disco","Volumen E:","26.2","% libre","210 GB libres de 800 GB","OK"
"Disco","Volumen F:","61","% libre","103.65 GB libres de 170 GB","OK"
"Disco","Volumen G:","30.5","% libre","152.72 GB libres de 500 GB","OK"
"Disco","Volumen I:","91.8","% libre","41.32 GB libres de 45 GB","OK"
"Disco","LatenciaPromedio","0.71","ms","Referencia: > 25 ms indica saturacion de E/S","OK"
"Red","Ethernet","100","Gbps","MAC=FA-16-3E-DC-DE-E5 Driver=62.6.101.58000","Info"
"Red","Ethernet - trafico","1079.15","GB recibidos","Enviados: 1758.42 GB | Descartes entrada: 0","Info"
"Sistema","TiempoActividad","22.74","dias","Ultimo arranque: 2026-07-25 17:20","Info"
"Sistema","ApagadosInesperados30d","1","","2026-07-25 17:07","ADVERTENCIA"
