"Control","Elemento","Valor","Esperado","Estado"
"VUL-02","Antimalware","Microsoft Defender","Presente y activo","OK"
"VUL-02","ProteccionTiempoReal","True","True","OK"
"VUL-02","AntimalwareHabilitado","True","True","OK"
"VUL-02","VersionFirmas","1.457.130.0","","Info"
"VUL-02","EdadFirmasDias","1","<= 3","OK"
"VUL-02","UltimoEscaneoCompleto","","","Info"
"VUL-02","ProteccionManipulacion","True","True","OK"
"VUL-02","ExclusionesDefinidas","3","<= 10 justificadas","Info"
"VUL-02","ExclusionRuta","N/A: Must be an administrator to view exclusions","","Info"
"RED-01","Firewall-Domain","False","True","FALLA"
"RED-01","FirewallEntrante-Domain","NotConfigured","Block","ADVERTENCIA"
"REG-01","FirewallLog-Domain","False","True","ADVERTENCIA"
"RED-01","Firewall-Private","False","True","FALLA"
"RED-01","FirewallEntrante-Private","NotConfigured","Block","ADVERTENCIA"
"REG-01","FirewallLog-Private","False","True","ADVERTENCIA"
"RED-01","Firewall-Public","False","True","FALLA"
"RED-01","FirewallEntrante-Public","NotConfigured","Block","ADVERTENCIA"
"REG-01","FirewallLog-Public","False","True","ADVERTENCIA"
"ARQ-01","EnableLUA","1","1","OK"
"ARQ-01","ConsentPromptBehaviorAdmin","5","2","FALLA"
"ARQ-01","RunAsPPL","(no definido)","1","NO DEFINIDO"
"ACC-03","LimitBlankPasswordUse","1","1","OK"
"CRI-02","NoLMHash","1","1","OK"
"RED-02","SMB1","(no definido)","0","NO DEFINIDO"
"RED-02","RequireSecuritySignature","0","1","FALLA"
"REG-01","EnableScriptBlockLogging","(no definido)","1","NO DEFINIDO"
"REG-01","EnableModuleLogging","(no definido)","1","NO DEFINIDO"
"CRI-02","SChannel TLS 1.0 (Server)","Enabled=0 DisabledByDefault=1","","Info"
"CRI-02","SChannel TLS 1.0 (Client)","Enabled=0 DisabledByDefault=1","","Info"
"CRI-02","SChannel TLS 1.1 (Server)","Enabled=0 DisabledByDefault=1","","Info"
"CRI-02","SChannel TLS 1.1 (Client)","Enabled=0 DisabledByDefault=1","","Info"
