"Categoria","Protocolo","DireccionLocal","Puerto","Proceso","PID","RutaProceso","Servicio","TodasInterfaces","Detalle"
"PuertoEscucha","TCP","::","64080","svchost","3648","","","True",""
"PuertoEscucha","TCP","::","55702","unsecapp","17496","","","True",""
"PuertoEscucha","TCP","::","50010","httpd","3416","","","True",""
"PuertoEscucha","TCP","::","50009","httpd","3432","","","True",""
"PuertoEscucha","TCP","::","50008","httpd","3384","","","True",""
"PuertoEscucha","TCP","::","50007","httpd","3372","","","True",""
"PuertoEscucha","TCP","::","50006","httpd","3768","","","True",""
"PuertoEscucha","TCP","::","50005","httpd","3424","","","True",""
"PuertoEscucha","TCP","::","50004","httpd","3520","","","True",""
"PuertoEscucha","TCP","::","50003","httpd","3448","","","True",""
"PuertoEscucha","TCP","::","50002","httpd","3640","","","True",""
"PuertoEscucha","TCP","::","50001","httpd","3396","","","True",""
"PuertoEscucha","TCP","::","50000","httpd","3356","","","True",""
"PuertoEscucha","TCP","::","49911","msdtc","9600","","","True",""
"PuertoEscucha","TCP","::","49679","services","704","","","True",""
"PuertoEscucha","TCP","::","49672","svchost","3024","","","True",""
"PuertoEscucha","TCP","::","49670","mqsvc","3832","","","True",""
"PuertoEscucha","TCP","::","49669","spoolsv","3040","","","True",""
"PuertoEscucha","TCP","::","49668","svchost","2812","","","True",""
"PuertoEscucha","TCP","::","49667","svchost","2080","","","True",""
"PuertoEscucha","TCP","::","49666","svchost","1600","","","True",""
"PuertoEscucha","TCP","::","49665","wininit","908","","","True",""
"PuertoEscucha","TCP","::","49664","lsass","716","","","True",""
"PuertoEscucha","TCP","::","47001","System","4","","","True",""
"PuertoEscucha","TCP","::1","42050","OneDrive.Sync.Service","52940","","","False",""
"PuertoEscucha","TCP","::","40000","tomcat8","3504","","","True",""
"PuertoEscucha","TCP","::","30010","tomcat8","3504","","","True",""
"PuertoEscucha","TCP","::","9090","windows_exporter","4100","","","True",""
"PuertoEscucha","TCP","::","8100","tomcat8","63764","","","True",""
"PuertoEscucha","TCP","::","8070","System","4","","","True",""
"PuertoEscucha","TCP","::","6556","cmk-agent-ctl","6788","","","True",""
"PuertoEscucha","TCP","::","5985","System","4","","WinRM HTTP","True",""
"PuertoEscucha","TCP","::","5357","System","4","","","True",""
"PuertoEscucha","TCP","::","3389","svchost","1388","","RDP","True",""
"PuertoEscucha","TCP","::","2107","mqsvc","3832","","","True",""
"PuertoEscucha","TCP","::","2105","mqsvc","3832","","","True",""
"PuertoEscucha","TCP","::","2103","mqsvc","3832","","","True",""
"PuertoEscucha","TCP","::","1801","mqsvc","3832","","","True",""
"PuertoEscucha","TCP","::1","1434","sqlservr","5608","","","False",""
"PuertoEscucha","TCP","::","1433","sqlservr","5608","","Microsoft SQL Server","True",""
"PuertoEscucha","TCP","::","445","System","4","","SMB","True",""
"PuertoEscucha","TCP","::","443","System","4","","","True",""
"PuertoEscucha","TCP","::","135","svchost","1108","","RPC Endpoint Mapper","True",""
"PuertoEscucha","TCP","::","80","System","4","","","True",""
"PuertoEscucha","TCP","::","22","sshd","3596","","","True",""
"PuertoEscucha","TCP","127.0.0.1","65193","SAP Business One","57864","","","False",""
"PuertoEscucha","TCP","127.0.0.1","64694","SAP Business One","66268","","","False",""
"PuertoEscucha","TCP","127.0.0.1","64349","SAP Business One","60440","","","False",""
"PuertoEscucha","TCP","0.0.0.0","64080","svchost","3648","","","True",""
"PuertoEscucha","TCP","127.0.0.1","63671","SAP Business One","61112","","","False",""
"PuertoEscucha","TCP","127.0.0.1","62116","SAP Business One","44184","","","False",""
"PuertoEscucha","TCP","127.0.0.1","61336","SAP Business One","65824","","","False",""
"PuertoEscucha","TCP","127.0.0.1","59926","SAP Business One","16232","","","False",""
"PuertoEscucha","TCP","127.0.0.1","58113","SAP Business One","6716","","","False",""
"PuertoEscucha","TCP","127.0.0.1","58046","SAP Business One","59036","","","False",""
"PuertoEscucha","TCP","0.0.0.0","55702","unsecapp","17496","","","True",""
"PuertoEscucha","TCP","127.0.0.1","55438","SAP Business One","66896","","","False",""
"PuertoEscucha","TCP","127.0.0.1","52241","SAP Business One","29084","","","False",""
"PuertoEscucha","TCP","127.0.0.1","52119","SAP Business One","36684","","","False",""
"PuertoEscucha","TCP","127.0.0.1","51753","SAP Business One","61512","","","False",""
"PuertoEscucha","TCP","127.0.0.1","50232","SAP Business One","55364","","","False",""
"PuertoEscucha","TCP","0.0.0.0","50010","httpd","3416","","","True",""
"PuertoEscucha","TCP","0.0.0.0","50009","httpd","3432","","","True",""
"PuertoEscucha","TCP","0.0.0.0","50008","httpd","3384","","","True",""
"PuertoEscucha","TCP","0.0.0.0","50007","httpd","3372","","","True",""
"PuertoEscucha","TCP","0.0.0.0","50006","httpd","3768","","","True",""
"PuertoEscucha","TCP","0.0.0.0","50005","httpd","3424","","","True",""
"PuertoEscucha","TCP","0.0.0.0","50004","httpd","3520","","","True",""
"PuertoEscucha","TCP","0.0.0.0","50003","httpd","3448","","","True",""
"PuertoEscucha","TCP","0.0.0.0","50002","httpd","3640","","","True",""
"PuertoEscucha","TCP","0.0.0.0","50001","httpd","3396","","","True",""
"PuertoEscucha","TCP","0.0.0.0","50000","httpd","3356","","","True",""
"PuertoEscucha","TCP","0.0.0.0","49911","msdtc","9600","","","True",""
"PuertoEscucha","TCP","0.0.0.0","49679","services","704","","","True",""
"PuertoEscucha","TCP","0.0.0.0","49672","svchost","3024","","","True",""
"PuertoEscucha","TCP","0.0.0.0","49670","mqsvc","3832","","","True",""
"PuertoEscucha","TCP","0.0.0.0","49669","spoolsv","3040","","","True",""
"PuertoEscucha","TCP","0.0.0.0","49668","svchost","2812","","","True",""
"PuertoEscucha","TCP","0.0.0.0","49667","svchost","2080","","","True",""
"PuertoEscucha","TCP","0.0.0.0","49666","svchost","1600","","","True",""
"PuertoEscucha","TCP","0.0.0.0","49665","wininit","908","","","True",""
"PuertoEscucha","TCP","0.0.0.0","49664","lsass","716","","","True",""
"PuertoEscucha","TCP","127.0.0.1","40021","java","10328","","","False",""
"PuertoEscucha","TCP","0.0.0.0","40020","java","10328","","","True",""
"PuertoEscucha","TCP","0.0.0.0","30001","B1_License","1632","","","True",""
"PuertoEscucha","TCP","0.0.0.0","30000","TAO_NT_CosNaming","6680","","","True",""
"PuertoEscucha","TCP","127.0.0.1","9072","SAP Business One","27292","","","False",""
"PuertoEscucha","TCP","0.0.0.0","3389","svchost","1388","","RDP","True",""
"PuertoEscucha","TCP","0.0.0.0","2107","mqsvc","3832","","","True",""
"PuertoEscucha","TCP","0.0.0.0","2105","mqsvc","3832","","","True",""
"PuertoEscucha","TCP","0.0.0.0","2103","mqsvc","3832","","","True",""
"PuertoEscucha","TCP","0.0.0.0","1801","mqsvc","3832","","","True",""
"PuertoEscucha","TCP","127.0.0.1","1434","sqlservr","5608","","","False",""
"PuertoEscucha","TCP","0.0.0.0","1433","sqlservr","5608","","Microsoft SQL Server","True",""
"PuertoEscucha","TCP","10.4.6.13","139","System","4","","NetBIOS Session Service","False",""
"PuertoEscucha","TCP","0.0.0.0","135","svchost","1108","","RPC Endpoint Mapper","True",""
"PuertoEscucha","TCP","0.0.0.0","22","sshd","3596","","","True",""
"PuertoEscucha","UDP","::","63553","PID 680","680","","","True",""
"PuertoEscucha","UDP","::","52590","PID 680","680","","","True",""
"PuertoEscucha","UDP","::","51199","PID 4116","4116","","","True",""
"PuertoEscucha","UDP","::","5355","PID 680","680","","","True",""
"PuertoEscucha","UDP","::","5353","PID 680","680","","","True",""
"PuertoEscucha","UDP","::","4500","PID 3016","3016","","","True",""
"PuertoEscucha","UDP","::","3702","PID 4116","4116","","","True",""
"PuertoEscucha","UDP","::","3389","PID 1388","1388","","","True",""
"PuertoEscucha","UDP","::","1434","PID 3816","3816","","","True",""
"PuertoEscucha","UDP","::","946","PID 4","4","","","True",""
"PuertoEscucha","UDP","::","500","PID 3016","3016","","","True",""
"PuertoEscucha","UDP","::","161","PID 3568","3568","","","True",""
"PuertoEscucha","UDP","::","123","PID 3588","3588","","","True",""
"PuertoEscucha","UDP","127.0.0.1","65289","PID 50608","50608","","","False",""
"PuertoEscucha","UDP","127.0.0.1","64075","PID 55364","55364","","","False",""
"PuertoEscucha","UDP","127.0.0.1","63114","PID 23236","23236","","","False",""
"PuertoEscucha","UDP","127.0.0.1","62776","PID 66268","66268","","","False",""
"PuertoEscucha","UDP","127.0.0.1","62775","PID 60440","60440","","","False",""
"PuertoEscucha","UDP","127.0.0.1","61267","PID 16232","16232","","","False",""
"PuertoEscucha","UDP","127.0.0.1","60712","PID 36684","36684","","","False",""
"PuertoEscucha","UDP","127.0.0.1","60426","PID 61112","61112","","","False",""
"PuertoEscucha","UDP","127.0.0.1","58184","PID 3440","3440","","","False",""
"PuertoEscucha","UDP","127.0.0.1","57927","PID 29084","29084","","","False",""
"PuertoEscucha","UDP","127.0.0.1","57926","PID 61512","61512","","","False",""
"PuertoEscucha","UDP","127.0.0.1","57496","PID 37668","37668","","","False",""
"PuertoEscucha","UDP","127.0.0.1","56572","PID 45932","45932","","","False",""
"PuertoEscucha","UDP","127.0.0.1","56548","PID 53884","53884","","","False",""
"PuertoEscucha","UDP","127.0.0.1","56466","PID 59036","59036","","","False",""
"PuertoEscucha","UDP","127.0.0.1","54635","PID 64852","64852","","","False",""
"PuertoEscucha","UDP","127.0.0.1","53769","PID 6716","6716","","","False",""
"PuertoEscucha","UDP","127.0.0.1","52397","PID 27292","27292","","","False",""
"PuertoEscucha","UDP","127.0.0.1","51252","PID 44184","44184","","","False",""
"PuertoEscucha","UDP","127.0.0.1","51251","PID 65824","65824","","","False",""
"PuertoEscucha","UDP","0.0.0.0","51198","PID 4116","4116","","","True",""
"PuertoEscucha","UDP","127.0.0.1","50459","PID 57864","57864","","","False",""
"PuertoEscucha","UDP","0.0.0.0","5355","PID 680","680","","","True",""
"PuertoEscucha","UDP","0.0.0.0","5353","PID 56580","56580","","","True",""
"PuertoEscucha","UDP","0.0.0.0","4500","PID 3016","3016","","","True",""
"PuertoEscucha","UDP","0.0.0.0","3702","PID 4116","4116","","","True",""
"PuertoEscucha","UDP","0.0.0.0","3389","PID 1388","1388","","","True",""
"PuertoEscucha","UDP","0.0.0.0","1434","PID 3816","3816","","","True",""
"PuertoEscucha","UDP","0.0.0.0","961","PID 4","4","","","True",""
"PuertoEscucha","UDP","0.0.0.0","500","PID 3016","3016","","","True",""
"PuertoEscucha","UDP","0.0.0.0","161","PID 3568","3568","","","True",""
"PuertoEscucha","UDP","10.4.6.13","138","PID 4","4","","","False",""
"PuertoEscucha","UDP","10.4.6.13","137","PID 4","4","","","False",""
"PuertoEscucha","UDP","0.0.0.0","123","PID 3588","3588","","","True",""
"RecursoCompartido","SMB","","445","ADMIN$",,"C:\Windows","Comparticion administrativa","True","Remote Admin"
