"Grupo","Metrica","Valor","Unidad","Detalle","Estado"
"Disco","% disk time","0.16","","min=0.03 max=0.62 muestras=5","Info"
"CPU","% processor time","2.97","","min=1.71 max=4.01 muestras=5","Info"
"CPU","processor queue length","0","","min=0 max=0 muestras=5","Info"
"Sistema","context switches/sec","28323.16","","min=25008.45 max=33279.02 muestras=5","Info"
"Memoria","% committed bytes in use","85.79","","min=85.77 max=85.8 muestras=5","Info"
"Memoria","available mbytes","9392.6","","min=9366 max=9412 muestras=5","Info"
"Disco","avg. disk queue length","0.01","","min=0 max=0.04 muestras=5","Info"
"Memoria","TotalFisica","131071","MB","","Info"
"Memoria","EnUso","121707","MB","92.9% del total","Info"
"Memoria","Disponible","9364","MB","7.1% libre","ADVERTENCIA"
"Memoria","ArchivoPaginacion","19456","MB","","Info"
"TopMemoria","sqlservr","99248.9","MB","PID=5608 Hilos=173 Compania= Ruta=","Info"
"TopMemoria","tomcat8","1217.8","MB","PID=3504 Hilos=274 Compania= Ruta=","Info"
"TopMemoria","SSMS","859.4","MB","PID=24864 Hilos=67 Compania= Ruta=","Info"
"TopMemoria","SSMS","774","MB","PID=39092 Hilos=57 Compania= Ruta=","Info"
"TopMemoria","java","660.4","MB","PID=10328 Hilos=110 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","637.7","MB","PID=50608 Hilos=48 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","610.1","MB","PID=65824 Hilos=35 Compania= Ruta=","Info"
"TopMemoria","POSIngresoPagos2023","540.7","MB","PID=53884 Hilos=26 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","523.4","MB","PID=61512 Hilos=36 Compania= Ruta=","Info"
"TopMemoria","claude","520.6","MB","PID=63464 Hilos=36 Compania=Anthropic PBC Ruta=C:\Users\svalle\.local\bin\claude.exe","Info"
"TopMemoria","SAP Business One","517.2","MB","PID=16232 Hilos=37 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","509.6","MB","PID=57864 Hilos=35 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","509.1","MB","PID=6716 Hilos=51 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","506.7","MB","PID=27292 Hilos=47 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","490.4","MB","PID=59036 Hilos=38 Compania= Ruta=","Info"
"TopCPU","claude","135.9","seg CPU acumulados","PID=63464 Ruta=C:\Users\svalle\.local\bin\claude.exe","Info"
"TopCPU","conhost","104.9","seg CPU acumulados","PID=18480 Ruta=C:\Windows\system32\conhost.exe","Info"
"TopCPU","explorer","99.6","seg CPU acumulados","PID=18692 Ruta=C:\Windows\Explorer.EXE","Info"
"TopCPU","powershell","84.5","seg CPU acumulados","PID=33060 Ruta=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","Info"
"TopCPU","msedge","57.5","seg CPU acumulados","PID=56580 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","msedge","28.8","seg CPU acumulados","PID=34068 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","msedge","23.2","seg CPU acumulados","PID=53608 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","msedge","15.2","seg CPU acumulados","PID=30992 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","SearchApp","12.9","seg CPU acumulados","PID=59208 Ruta=C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","Info"
"TopCPU","RuntimeBroker","10.2","seg CPU acumulados","PID=59240 Ruta=C:\Windows\System32\RuntimeBroker.exe","Info"
"TopCPU","OneDrive","5.7","seg CPU acumulados","PID=59820 Ruta=C:\Program Files\Microsoft OneDrive\OneDrive.exe","Info"
"TopCPU","TabTip","5","seg CPU acumulados","PID=57816 Ruta=","Info"
"TopCPU","msedge","4.2","seg CPU acumulados","PID=17740 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","msedge","3.2","seg CPU acumulados","PID=59348 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","rdpclip","3","seg CPU acumulados","PID=55648 Ruta=C:\Windows\System32\rdpclip.exe","Info"
"Sistema","ProcesosActivos","407","","","Info"
"Sistema","HilosTotales","5387","","","Info"
"Sistema","Identificadores","197985","","","Info"
"Disco","Volumen C:","11.8","% libre","41.34 GB libres de 349.9 GB","ADVERTENCIA"
"Disco","Volumen D:","79.3","% libre","7.92 GB libres de 10 GB","OK"
"Disco","Volumen E:","26.3","% libre","210.01 GB libres de 800 GB","OK"
"Disco","Volumen F:","60.9","% libre","103.59 GB libres de 170 GB","OK"
"Disco","Volumen G:","30.5","% libre","152.73 GB libres de 500 GB","OK"
"Disco","Volumen I:","91.8","% libre","41.32 GB libres de 45 GB","OK"
"Disco","LatenciaPromedio","0.7","ms","Referencia: > 25 ms indica saturacion de E/S","OK"
"Red","Ethernet","100","Gbps","MAC=FA-16-3E-DC-DE-E5 Driver=62.6.101.58000","Info"
"Red","Ethernet - trafico","889.22","GB recibidos","Enviados: 1473.87 GB | Descartes entrada: 0","Info"
"Sistema","TiempoActividad","18.67","dias","Ultimo arranque: 2026-07-25 17:20","Info"
"Sistema","ApagadosInesperados30d","1","","2026-07-25 17:07","ADVERTENCIA"
