"Categoria","HotFixID","Tipo","InstaladoEl","InstaladoPor","DiasDesde","Enlace"
"Actualizacion","KB5082142","Security Update","2026-04-30","NT AUTHORITY\SYSTEM","104","https://support.microsoft.com/help/5082142"
"Actualizacion","KB5082137","Security Update","2026-04-30","NT AUTHORITY\SYSTEM","104",""
"Actualizacion","KB5082427","Update","2026-04-30","NT AUTHORITY\SYSTEM","104","http://support.microsoft.com/?kbid=5082427"
"Actualizacion","KB5012170","Security Update","2023-09-06","SRV-SAP\Administrator","1071","https://support.microsoft.com/help/5012170"
"ConfiguracionWU","AUOptions","Descargar y notificar antes de instalar","","",,"Microsoft Update"
"ConfiguracionWU","wuauserv","Stopped / Manual","","",,"Servicio Windows Update"
"Pendiente","890830","Windows Malicious Software Removal Tool x64 - v5.144 (KB890830)","","",,"Severidad MSRC: "
"Pendiente","5121650","2026-08 Cumulative Update for .NET Framework 3.5, 4.8 and 4.8.1 for Microsoft server operating system version 21H2 for x64 (KB5121650)","","",,"Severidad MSRC: Important"
"Pendiente","2267602","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.457.128.0) - Current Channel (Broad)","","",,"Severidad MSRC: "
"Pendiente","5120242","2026-08 Cumulative Update for Microsoft server operating system version 21H2 for x64-based Systems (KB5120242)","","",,"Severidad MSRC: "
