"Familia","Producto","Version","Ruta","Origen","Notas"
".NET Framework",".NET Framework v2.0.50727","2.0.50727.4927","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\NET Framework Setup\NDP\v2.0.50727","Registry:NDP",""
".NET Framework",".NET Framework v2.0.50727 1033","2.0.50727.4927","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\NET Framework Setup\NDP\v2.0.50727\1033","Registry:NDP",""
".NET Framework",".NET Framework v3.0","3.0.30729.4926","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\NET Framework Setup\NDP\v3.0","Registry:NDP",""
".NET Framework",".NET Framework v3.0 Setup","3.0.30729.4926","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\NET Framework Setup\NDP\v3.0\Setup","Registry:NDP",""
".NET Framework",".NET Framework v3.5","3.5.30729.4926","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\NET Framework Setup\NDP\v3.5","Registry:NDP",""
".NET Framework",".NET Framework v3.5 1033","3.5.30729.4926","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\NET Framework Setup\NDP\v3.5\1033","Registry:NDP",""
".NET Framework",".NET Framework v4 Client","4.8.04161","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\NET Framework Setup\NDP\v4\Client","Registry:NDP","Release=528449"
".NET Framework",".NET Framework v4 Full","4.8.04161","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\NET Framework Setup\NDP\v4\Full","Registry:NDP","Release=528449"
".NET Framework",".NET Framework v4.0 Client","4.0.0.0","Microsoft.PowerShell.Core\Registry::HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\NET Framework Setup\NDP\v4.0\Client","Registry:NDP",""
"ServidorWeb","Internet Information Services","Version 10.0","C:\inetpub\wwwroot","Registry:InetStp",""
"ServidorWeb","W3SVC","","","Get-Service","Estado: Running"
"BaseDeDatos","Microsoft SQL Server - instancia MSSQLSERVER","15.0.2000.5","","Registry","Standard Edition"
"RolWindows","File and Storage Services","","FileAndStorage-Services","Get-WindowsFeature","Tipo: Role"
"RolWindows","File and iSCSI Services","","File-Services","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","File Server","","FS-FileServer","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Storage Services","","Storage-Services","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Web Server (IIS)","","Web-Server","Get-WindowsFeature","Tipo: Role"
"RolWindows","Web Server","","Web-WebServer","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Common HTTP Features","","Web-Common-Http","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Default Document","","Web-Default-Doc","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Directory Browsing","","Web-Dir-Browsing","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","HTTP Errors","","Web-Http-Errors","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Static Content","","Web-Static-Content","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Health and Diagnostics","","Web-Health","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","HTTP Logging","","Web-Http-Logging","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Performance","","Web-Performance","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Static Content Compression","","Web-Stat-Compression","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Security","","Web-Security","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Request Filtering","","Web-Filtering","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Basic Authentication","","Web-Basic-Auth","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Windows Authentication","","Web-Windows-Auth","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Application Development","","Web-App-Dev","Get-WindowsFeature","Tipo: Role Service"
"RolWindows",".NET Extensibility 4.8","","Web-Net-Ext45","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Application Initialization","","Web-AppInit","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","ASP","","Web-ASP","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","ASP.NET 4.8","","Web-Asp-Net45","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","CGI","","Web-CGI","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","ISAPI Extensions","","Web-ISAPI-Ext","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","ISAPI Filters","","Web-ISAPI-Filter","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","WebSocket Protocol","","Web-WebSockets","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","FTP Server","","Web-Ftp-Server","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","FTP Service","","Web-Ftp-Service","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","FTP Extensibility","","Web-Ftp-Ext","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Management Tools","","Web-Mgmt-Tools","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","IIS Management Console","","Web-Mgmt-Console","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","IIS 6 Management Compatibility","","Web-Mgmt-Compat","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","IIS 6 Metabase Compatibility","","Web-Metabase","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","IIS 6 Management Console","","Web-Lgcy-Mgmt-Console","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","IIS 6 Scripting Tools","","Web-Lgcy-Scripting","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","IIS 6 WMI Compatibility","","Web-WMI","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","IIS Management Scripts and Tools","","Web-Scripting-Tools","Get-WindowsFeature","Tipo: Role Service"
"RolWindows","Management Service","","Web-Mgmt-Service","Get-WindowsFeature","Tipo: Role Service"
"RolWindows",".NET Framework 3.5 Features","","NET-Framework-Features","Get-WindowsFeature","Tipo: Feature"
"RolWindows",".NET Framework 3.5 (includes .NET 2.0 and 3.0)","","NET-Framework-Core","Get-WindowsFeature","Tipo: Feature"
"RolWindows",".NET Framework 4.8 Features","","NET-Framework-45-Features","Get-WindowsFeature","Tipo: Feature"
"RolWindows",".NET Framework 4.8","","NET-Framework-45-Core","Get-WindowsFeature","Tipo: Feature"
"RolWindows","ASP.NET 4.8","","NET-Framework-45-ASPNET","Get-WindowsFeature","Tipo: Feature"
"RolWindows","WCF Services","","NET-WCF-Services45","Get-WindowsFeature","Tipo: Feature"
"RolWindows","TCP Port Sharing","","NET-WCF-TCP-PortSharing45","Get-WindowsFeature","Tipo: Feature"
"RolWindows","Azure Arc Setup","","AzureArcSetup","Get-WindowsFeature","Tipo: Feature"
"RolWindows","Client for NFS","","NFS-Client","Get-WindowsFeature","Tipo: Feature"
"RolWindows","Message Queuing","","MSMQ","Get-WindowsFeature","Tipo: Feature"
"RolWindows","Message Queuing Services","","MSMQ-Services","Get-WindowsFeature","Tipo: Feature"
"RolWindows","Message Queuing Server","","MSMQ-Server","Get-WindowsFeature","Tipo: Feature"
"RolWindows","Microsoft Defender Antivirus","","Windows-Defender","Get-WindowsFeature","Tipo: Feature"
"RolWindows","Remote Server Administration Tools","","RSAT","Get-WindowsFeature","Tipo: Feature"
"RolWindows","Feature Administration Tools","","RSAT-Feature-Tools","Get-WindowsFeature","Tipo: Feature"
