"Artefacto","Version","Descripcion","OrigenDescripcion","RutaInstalacion","RutaVerificada","OrigenRuta","CapaEA","RolArquitectonico","RolId","Alineacion","AplicacionNegocio","EnCatalogoEA","Propietario","Criticidad","Publicador","ServiciosAsociados","PuertosExpuestos","FechaInstalacion"
"SAP Business One Components Wizard","10.00.201.102","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","C:\Program Files\SAP","True","Registro: InstallLocation","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP","b1s50000 [Running]; b1s50001 [Running]; b1s50002 [Running]; b1s50003 [Running]; b1s50004 [Running]; b1s50005 [Running]; b1s50006 [Running]; b1s50007 [Running]; b1s50008 [Running]; b1s50009 [Running]; b1s50010 [Running]; B1ServerToolsAuthentication [Running]; B1ServerTools64 [Running]; Gatekeeper64 [Running]; B1LicenseService [Running]; TAO_NT_Naming_Service [Running]; SLDAgentOP [Running]; SBOMail [Running]; SBODI_Server [Stopped]","",""
"Microsoft SQL Server 2019 (64-bit)","","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","C:\Program Files\Microsoft SQL Server\150\Setup Bootstrap\SQL2019\x64","True","Registro: DisplayIcon","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","",""
"Notepad++ (64-bit x64)","8.9.2","Notepad++","Metadatos del binario","C:\Program Files\Notepad++","True","Registro: DisplayIcon","Tecnologia","Herramienta de administracion","HerramientaAdministracion","Alineado","","False","","","Notepad++ Team","","",""
"obs-browser-plus 3.23.9","3.23.9","obs-browser-plus","Metadatos del binario","C:\Program Files\obs-browser-plus","True","Registro: DisplayIcon","Aplicacion","Multimedia y entretenimiento","Multimedia","NO ALINEADO","","False","","","OBS","","",""
"Microsoft OneDrive","26.134.0713.0004","Microsoft OneDrive (64 bit) Setup","Metadatos del binario","C:\Program Files\Microsoft OneDrive\26.134.0713.0004","True","Registro: DisplayIcon","Datos","Sincronizacion en nube","AlmacenamientoNube","NO ALINEADO","","False","","","Microsoft Corporation","FileSyncHelper [Stopped]; OneDrive Updater Service [Stopped]","",""
"WinRAR 6.24 (64-bit)","6.24.0","WinRAR archiver","Metadatos del binario","C:\Program Files\WinRAR","True","Registro: InstallLocation","Tecnologia","Herramienta de administracion","HerramientaAdministracion","Alineado","","False","","","win.rar GmbH","","",""
"Microsoft SQL Server 2019 Setup (English)","15.0.2000.5","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2023-03-08"
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2025-11-03"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219","10.0.40219","Caution. Removing this product might prevent some applications from running.","Registro: Comments","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2023-05-25"
"VMware Tools","11.3.5.18557794","Build","Registro: Comments","C:\Program Files\VMware\VMware Tools","True","Registro: InstallLocation","Infraestructura","Controlador / firmware","ControladorFirmware","Alineado","","False","","","VMware, Inc.","VGAuthService [Running]; VMTools [Stopped]","","2022-06-14"
"Microsoft VSS Writer for SQL Server 2019","15.0.2000.5","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2023-03-08"
"Microsoft SQL Server 2019 T-SQL Language Service","15.0.2000.5","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2023-03-08"
"SAP Crystal Reports runtime engine for .NET Framework (64-bit)","13.0.32.4286","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","","False","No determinada","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP","","","2025-01-29"
"Azure Data Studio","1.47.0","Azure Data Studio","Metadatos del binario","C:\Program Files\Azure Data Studio","True","Registro: InstallLocation","Tecnologia","Herramienta de desarrollo","HerramientaDesarrollo","NO ALINEADO","","False","","","Microsoft Corporation","","","2023-12-09"
"Microsoft Visual Studio Installer","3.14.2086.54749","Visual Studio Installer","Metadatos del binario","C:\Program Files (x86)\Microsoft Visual Studio\Installer","True","Registro: DisplayIcon","Tecnologia","Herramienta de desarrollo","HerramientaDesarrollo","NO ALINEADO","","False","","","Microsoft Corporation","VSInstallerElevationService [Stopped]","","2025-11-03"
"Microsoft OLE DB Driver for SQL Server","18.7.4.0","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2025-11-03"
"Microsoft Access database engine 2010 (English)","14.0.7015.1000","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2023-05-24"
"Microsoft SQL Server 2012 Native Client","11.4.7462.6","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2023-03-08"
"Instalador","1.0.0","El artefacto no coincide con ningun rol de la taxonomia. Requiere clasificacion manual por el arquitecto.","Rol arquitectonico (generico)","","False","No determinada","No determinada","Sin clasificar","SinClasificar","Sin clasificar","","False","","","Default Company Name","","","2025-02-03"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61000","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2023-05-25"
"SQL Server Management Studio 21","21.6.17","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","C:\Program Files\Microsoft SQL Server Management Studio 21\Release","True","Registro: InstallLocation","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2025-11-03"
"DevExpress Components 24.2","24.2.7","IDE, compilador, SDK, biblioteca de componentes o utilitario de construccion de software.","Rol arquitectonico (generico)","C:\Program Files\DevExpress 24.2\Components","True","Registro: DisplayIcon","Tecnologia","Herramienta de desarrollo","HerramientaDesarrollo","NO ALINEADO","","False","","","Developer Express Inc.","","",""
"SAP Business One Crystal Report Integration Package","1.00.0000","Crystal Reports","Metadatos del binario","C:\Program Files (x86)\SAP BusinessObjects\SAP BusinessObjects Enterprise XI 4.0\win64_x64","True","Registro: InstallLocation","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP AG","","","2023-10-23"
