"Nombre","Version","Descripcion","OrigenDescripcion","RutaInstalacion","RutaVerificada","OrigenRuta","RolArquitectonico","RolId","CapaEA","AplicacionNegocio","Propietario","Criticidad","EnCatalogoEA","Publicador","FechaInstalacion","DiasDesdeInstalacion","Arquitectura","TipoPaquete","TamanoMB","Ambitos","Origen","ClaveRegistro","Soporte","Riesgo","CategoriaRiesgo"
"Archivo redistribuible del SDK .NET de la plataforma de BI de SAP BusinessObjects de 64 bits 4.3 SP2 Patch 4","14.3.2.4272","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","C:\Program Files (x86)\SAP BusinessObjects\setup\icons","True","Registro: DisplayIcon","Aplicacion de negocio","AplicacionNegocio","Aplicacion","SAP - Sistema de planificacion de recursos empresariales","DEFINIR","Alta","True","SAP","",,"x86","MSI","0","Machine-x86","Registry:Uninstall","{C0A9CC35-A481-4842-8A8E-DC4C8B6C539E}","http://www.sap.com","",""
"BOERuntime For Business One (64 bit)","1.00.0000","SAP Business One","Metadatos del binario","C:\Program Files\SAP\SAP Business One","True","Registro: InstallLocation","Aplicacion de negocio","AplicacionNegocio","Aplicacion","SAP - Sistema de planificacion de recursos empresariales","DEFINIR","Alta","True","SAP AG","2023-10-19","1028","x86","EXE/Otro","2","Machine-x86","Registry:Uninstall","InstallShield_{86F17109-829B-439E-9954-F299174D28B3}","","",""
"SAP Business One Browser Access Server Gatekeeper (64-bit)","100","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","C:\Program Files\SAP\SAP Business One BAS GateKeeper","True","Registro: InstallLocation","Aplicacion de negocio","AplicacionNegocio","Aplicacion","SAP - Sistema de planificacion de recursos empresariales","DEFINIR","Alta","True","SAP","2025-01-29","560","x86","EXE/Otro","161.6","Machine-x86","Registry:Uninstall","InstallShield_{D0E8CAA6-4EB7-4549-AAA0-53970F4C4810}","http://www.sap.com/sme/solutions/businessmanagement/businessone/index.epx","",""
"SAP Business One Client (64-bit)","","SAP Business One","Metadatos del binario","C:\Program Files\SAP\SAP Business One","True","Registro: InstallLocation","Aplicacion de negocio","AplicacionNegocio","Aplicacion","SAP - Sistema de planificacion de recursos empresariales","DEFINIR","Alta","True","SAP","2025-01-29","560","x86","EXE/Otro","672.9","Machine-x86","Registry:Uninstall","InstallShield_{A90A2E86-01E1-4EC9-AA3D-7E475825AFCB}","http://www.sap.com","",""
"SAP Business One Client Agent","1.0.1.6","SAP Business One Client Agent","Metadatos del binario","C:\Program Files (x86)\SAP\SAP Business One Client Agent","True","Registro: InstallLocation","Aplicacion de negocio","AplicacionNegocio","Aplicacion","SAP - Sistema de planificacion de recursos empresariales","DEFINIR","Alta","True","SAP","2023-10-12","1035","x86","MSI","1.4","Machine-x86","Registry:Uninstall","{1628A2E2-07CC-4995-B3E8-9ABE9F5189D9}","http://www.sap.com","",""
"SAP Business One Components Wizard","10.00.201.102","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","C:\Program Files\SAP","True","Registro: InstallLocation","Aplicacion de negocio","AplicacionNegocio","Aplicacion","SAP - Sistema de planificacion de recursos empresariales","DEFINIR","Alta","True","SAP","",,"x64","EXE/Otro","0","Machine-x64","Registry:Uninstall","B1Wizard64","","",""
"SAP Business One Crystal Report Integration Package","1.00.0000","Crystal Reports","Metadatos del binario","C:\Program Files (x86)\SAP BusinessObjects\SAP BusinessObjects Enterprise XI 4.0\win64_x64","True","Registro: InstallLocation","Aplicacion de negocio","AplicacionNegocio","Aplicacion","SAP - Sistema de planificacion de recursos empresariales","DEFINIR","Alta","True","SAP AG","2023-10-23","1024","x86","EXE/Otro","1.4","Machine-x86","Registry:Uninstall","InstallShield_{00C5FE5F-52C8-4D7E-A193-924226A532DC}","","",""
"SAP Business One Data Transfer Workbench x64","1000.00.201","Your Comments","Registro: Comments","C:\Program Files\SAP\Data Transfer Workbench","True","Registro: InstallLocation","Aplicacion de negocio","AplicacionNegocio","Aplicacion","SAP - Sistema de planificacion de recursos empresariales","DEFINIR","Alta","True","SAP","2025-02-03","555","x86","EXE/Otro","56.9","Machine-x86","Registry:Uninstall","InstallShield_{B12A19F7-0EAC-49F7-B39A-E3E130D6D783}","http://www.sap.com","",""
"SAP Business One DI API (64-bit)","","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","C:\Program Files\SAP\SAP Business One DI API","True","Registro: InstallLocation","Aplicacion de negocio","AplicacionNegocio","Aplicacion","SAP - Sistema de planificacion de recursos empresariales","DEFINIR","Alta","True","SAP","2025-01-29","560","x86","EXE/Otro","365.9","Machine-x86","Registry:Uninstall","InstallShield_{E97959D5-B5AB-438B-A2DC-6A53D042AB89}","http://www.sap.com","",""
"SAP Crystal Reports for SAP Business One","14.3.2.4272","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","C:\Program Files (x86)\SAP BusinessObjects\setup\icons","True","Registro: DisplayIcon","Aplicacion de negocio","AplicacionNegocio","Aplicacion","SAP - Sistema de planificacion de recursos empresariales","DEFINIR","Alta","True","SAP Business Objects","",,"x86","MSI","0","Machine-x86","Registry:Uninstall","{C1C9AA61-96FC-4421-A02B-7C60105E4911}","http://www.sap.com","",""
"SAP Crystal Reports runtime engine for .NET Framework (64-bit)","13.0.32.4286","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","","False","No determinada","Aplicacion de negocio","AplicacionNegocio","Aplicacion","SAP - Sistema de planificacion de recursos empresariales","DEFINIR","Alta","True","SAP","2025-01-29","560","x64","MSI","353.1","Machine-x64","Registry:Uninstall","{36B0EEF1-E0B2-40FC-BEE5-F036E51D7540}","","",""
"Tableau Bridge (20262.26.0603.1643)","26.2.783","Tableau Bridge (20262.26.0603.1643)","Metadatos del binario","C:\ProgramData\Package Cache\{638474c3-dd80-4475-9a0b-e8a70e5801df}","True","Registro: DisplayIcon","Inteligencia de negocios y reporteria","HerramientaBI","Aplicacion","","","","False","Salesforce, Inc","",,"x86","MSI","2546.4","Machine-x86","Registry:Uninstall","{638474c3-dd80-4475-9a0b-e8a70e5801df}","http://tableau.com","",""
"obs-browser-plus 3.23.9","3.23.9","obs-browser-plus","Metadatos del binario","C:\Program Files\obs-browser-plus","True","Registro: DisplayIcon","Multimedia y entretenimiento","Multimedia","Aplicacion","","","","False","OBS","",,"x64","EXE/Otro","349.3","Machine-x64","Registry:Uninstall","obsbrowserplus","","",""
"Microsoft Edge","151.0.4129.78","Microsoft Edge","Metadatos del binario","C:\Program Files (x86)\Microsoft\Edge\Application","True","Registro: InstallLocation","Navegador web","NavegadorWeb","Aplicacion","","","","False","Microsoft Corporation","2026-08-11","1","x86","EXE/Otro","2071.2","Machine-x86","Registry:Uninstall","Microsoft Edge","","",""
"Microsoft Edge WebView2 Runtime","151.0.4129.78","Navegador de internet o motor de navegacion embebido.","Rol arquitectonico (generico)","C:\Program Files (x86)\Microsoft\EdgeWebView\Application","True","Registro: InstallLocation","Navegador web","NavegadorWeb","Aplicacion","","","","False","Microsoft Corporation","2026-08-11","1","x86","EXE/Otro","2066","Machine-x86","Registry:Uninstall","Microsoft EdgeWebView","","",""
"Microsoft.MicrosoftEdge.Stable","151.0.4129.78","Navegador de internet o motor de navegacion embebido.","Rol arquitectonico (generico)","C:\Program Files\WindowsApps\Microsoft.MicrosoftEdge.Stable_151.0.4129.78_neutral__8wekyb3d8bbwe","True","Appx: InstallLocation","Navegador web","NavegadorWeb","Aplicacion","","","","False","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.MicrosoftEdge.Stable_151.0.4129.78_neutral__8wekyb3d8bbwe","","",""
"Browser for SQL Server 2019","15.0.2000.5","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","2023-03-08","1253","x86","MSI","11","Machine-x86","Registry:Uninstall","{5E366957-8D78-4BB5-A790-96F97A9766BD}","","",""
"Microsoft Access database engine 2010 (English)","14.0.7015.1000","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","2023-05-24","1176","x64","MSI","119.5","Machine-x64","Registry:Uninstall","{90140000-00D1-0409-1000-0000000FF1CE}","http://www.microsoft.com/support","",""
"Microsoft ODBC Driver 17 for SQL Server","17.10.6.1","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","2025-11-03","282","x64","MSI","4.1","Machine-x64","Registry:Uninstall","{0E0F96AC-80DE-4400-A40C-429D63293651}","","",""
"Microsoft OLE DB Driver for SQL Server","18.7.4.0","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","2025-11-03","282","x64","MSI","8.2","Machine-x64","Registry:Uninstall","{76EB75D2-CCF6-41A9-90B6-922DE9146276}","","",""
"Microsoft SQL Server 2012 Native Client","11.4.7462.6","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","2023-03-08","1253","x64","MSI","9.7","Machine-x64","Registry:Uninstall","{9D93D367-A2CC-4378-BD63-79EF3FE76C78}","","",""
"Microsoft SQL Server 2019 (64-bit)","","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","C:\Program Files\Microsoft SQL Server\150\Setup Bootstrap\SQL2019\x64","True","Registro: DisplayIcon","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","",,"x64","EXE/Otro","0","Machine-x64","Registry:Uninstall","Microsoft SQL Server SQL2019","","",""
"Microsoft SQL Server 2019 Setup (English)","15.0.2000.5","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","2023-03-08","1253","x64","MSI","40.4","Machine-x64","Registry:Uninstall","{02EC8B46-04E8-4227-89FB-CF5174ABE580}","","",""
"Microsoft SQL Server 2019 T-SQL Language Service","15.0.2000.5","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","2023-03-08","1253","x64","MSI","9.1","Machine-x64","Registry:Uninstall","{31D27B41-A051-49D8-907A-62E0F4A2188C}","","",""
"Microsoft Visual C++ 2005 Redistributable","8.0.61001","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Motor de base de datos","MotorBaseDatos","Datos","","","","False","Microsoft Corporation","2023-05-25","1175","x86","MSI","4.8","Machine-x86","Registry:Uninstall","{710f4c1c-cc18-4c49-8cbf-51240c89a1a2}","","",""
