"Nombre","NombreMostrado","Estado","TipoInicio","Cuenta","RutaImagen","Ejecutable","EnRutaEstandar","RutaSinComillas","Descripcion","PID"
"AJRouter","AllJoyn Router Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Routes AllJoyn messages for the local AllJoyn clients. If this service is stopped the AllJoyn clients that do not have their own bundled routers will be unable to run.","0"
"ALG","Application Layer Gateway Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\alg.exe","C:\Windows\System32\alg.exe","True","False","Provides support for 3rd party protocol plug-ins for Internet Connection Sharing","0"
"AppHostSvc","Application Host Helper Service","Running","Auto","localSystem","C:\Windows\system32\svchost.exe -k apphost","C:\Windows\system32\svchost.exe","True","False","Provides administrative services for IIS, for example configuration history and Application Pool account mapping. If this service is stopped, configuration history and locking down files or directories with Application Pool specific Access Control Entries will not work.","3240"
"AppIDSvc","Application Identity","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\system32\svchost.exe","True","False","Determines and verifies the identity of an application. Disabling this service will prevent AppLocker from being enforced.","0"
"Appinfo","Application Information","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","Facilitates the running of interactive applications with additional administrative privileges.  If this service is stopped, users will be unable to launch applications with the additional administrative privileges they may require to perform desired user tasks.","15336"
"AppMgmt","Application Management","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p","C:\Windows\system32\svchost.exe","True","False","Processes installation, removal, and enumeration requests for software deployed through Group Policy. If the service is disabled, users will be unable to install, remove, or enumerate software deployed through Group Policy. If this service is disabled, any services that explicitly depend on it will ...","0"
"AppReadiness","App Readiness","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k AppReadiness -p","C:\Windows\System32\svchost.exe","True","False","Gets apps ready for use the first time a user signs in to this PC and when adding new apps.","0"
"AppVClient","Microsoft App-V Client","Stopped","Disabled","LocalSystem","C:\Windows\system32\AppVClient.exe","C:\Windows\system32\AppVClient.exe","True","False","Manages App-V users and virtual applications","0"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k wsappx -p","C:\Windows\system32\svchost.exe","True","False","Provides infrastructure support for deploying Store applications. This service is started on demand and if disabled Store applications will not be deployed to the system, and may not function properly.","49948"
"aspnet_state","ASP.NET State Service","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe","True","False","Provides support for out-of-process session states for ASP.NET. If this service is stopped, out-of-process requests will not be processed. If this service is disabled, any services that explicitly depend on it will fail to start.","0"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\svchost.exe","True","False","Manages audio devices for the Windows Audio service.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","0"
"Audiosrv","Windows Audio","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","C:\Windows\System32\svchost.exe","True","False","Manages audio for Windows-based programs.  If this service is stopped, audio devices and effects will not function properly.  If this service is disabled, any services that explicitly depend on it will fail to start","0"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Disabled","LocalSystem","C:\Windows\system32\svchost.exe -k AxInstSVGroup","C:\Windows\system32\svchost.exe","True","False","Provides User Account Control validation for the installation of ActiveX controls from the Internet and enables management of ActiveX control installation based on Group Policy settings. This service is started on demand and if disabled the installation of ActiveX controls will behave according to d...","0"
"AzureAttestService","AzureAttestService","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k AzureAttestService","C:\Windows\system32\svchost.exe","True","False","","3328"
"B1LicenseService","SAP Business One License Manager (64-bit)","Running","Auto","LocalSystem","""c:\Program Files\SAP\SAP Business One ServerTools\License Service\service\B1_License.exe""","c:\Program Files\SAP\SAP Business One ServerTools\License Service\service\B1_License.exe","True","False","SAP Business One License Manager (64-bit)","1632"
"b1s50000","SAP Business One Service Layer Load Balancer","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe"" -k runservice","C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe","True","False","Apache/2.4.56 (Win64) OpenSSL/1.1.1t","3356"
"b1s50001","SAP Business One Service Layer Node (50001)","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe"" -k runservice","C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe","True","False","Apache/2.4.56 (Win64)","3396"
"b1s50002","SAP Business One Service Layer Node (50002)","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe"" -k runservice","C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe","True","False","Apache/2.4.56 (Win64)","3640"
"b1s50003","SAP Business One Service Layer Node (50003)","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe"" -k runservice","C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe","True","False","Apache/2.4.56 (Win64)","3448"
"b1s50004","SAP Business One Service Layer Node (50004)","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe"" -k runservice","C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe","True","False","Apache/2.4.56 (Win64)","3520"
"b1s50005","SAP Business One Service Layer Node (50005)","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe"" -k runservice","C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe","True","False","Apache/2.4.56 (Win64)","3424"
"b1s50006","SAP Business One Service Layer Node (50006)","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe"" -k runservice","C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe","True","False","Apache/2.4.56 (Win64)","3768"
"b1s50007","SAP Business One Service Layer Node (50007)","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe"" -k runservice","C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe","True","False","Apache/2.4.56 (Win64)","3372"
"b1s50008","SAP Business One Service Layer Node (50008)","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe"" -k runservice","C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe","True","False","Apache/2.4.56 (Win64)","3384"
"b1s50009","SAP Business One Service Layer Node (50009)","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe"" -k runservice","C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe","True","False","Apache/2.4.56 (Win64)","3432"
"b1s50010","SAP Business One Service Layer Node (50010)","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe"" -k runservice","C:\Program Files\SAP\SAP Business One ServerTools\ServiceLayer\Apache\bin\httpd.exe","True","False","Apache/2.4.56 (Win64)","3416"
"B1ServerTools64","SAP Business One Server Tools Service (64-bit)","Running","Auto","LocalSystem","""c:\Program Files\SAP\SAP Business One SetupFiles\tomcat\bin\tomcat8.exe"" //RS//B1ServerTools64","c:\Program Files\SAP\SAP Business One SetupFiles\tomcat\bin\tomcat8.exe","True","False","SAP Business One Server Tools Service (64-bit)","3504"
"B1ServerToolsAuthentication","SAP Business One Server Tools Authentication Service","Running","Auto","LocalSystem","""C:\Program Files\SAP\SAP Business One SetupFiles\support\tools\nssm\nssm.exe""","C:\Program Files\SAP\SAP Business One SetupFiles\support\tools\nssm\nssm.exe","True","False","SAP Business One Server Tools Authentication Service","3512"
"BFE","Base Filtering Engine","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p","C:\Windows\system32\svchost.exe","True","False","The Base Filtering Engine (BFE) is a service that manages firewall and Internet Protocol security (IPsec) policies and implements user mode filtering. Stopping or disabling the BFE service will significantly reduce the security of the system. It will also result in unpredictable behavior in IPsec ma...","2452"
