"Categoria","Nombre","Habilitada","Descripcion","UltimoInicioSesion","DiasSinUso","ContrasenaEstablecida","EdadContrasenaDias","ContrasenaNoExpira","ContrasenaRequerida","SID","Detalle"
"CuentaLocal","Administrator","True","Built-in account for administering the computer/domain","2026-08-12","0","2023-07-31","1107",,"True","S-1-5-21-2969368601-2643879877-1254880530-500",""
"CuentaLocal","b1scswworkingshare","True","","2025-01-29","559","2025-01-29","559",,"True","S-1-5-21-2969368601-2643879877-1254880530-1014",""
"CuentaLocal","B1_Tech_User","True","B1 Technical User","Nunca",,"2025-01-29","559",,"True","S-1-5-21-2969368601-2643879877-1254880530-1002",""
"CuentaLocal","conta.seno","True","","2026-08-11","0","2024-07-04","769",,"True","S-1-5-21-2969368601-2643879877-1254880530-1010",""
"CuentaLocal","db_replica","True","","2026-06-24","48","2026-06-10","62",,"False","S-1-5-21-2969368601-2643879877-1254880530-1018",""
"CuentaLocal","DefaultAccount","False","A user account managed by the system.","Nunca",,"Nunca",,,"False","S-1-5-21-2969368601-2643879877-1254880530-503",""
"CuentaLocal","edson.cuque","True","","2024-07-30","743","2024-06-03","800",,"True","S-1-5-21-2969368601-2643879877-1254880530-1013",""
"CuentaLocal","Guest","False","Built-in account for guest access to the computer/domain","Nunca",,"Nunca",,,"False","S-1-5-21-2969368601-2643879877-1254880530-501",""
"CuentaLocal","jefedesarrollo","True","","2025-09-24","322","2023-09-29","1048",,"True","S-1-5-21-2969368601-2643879877-1254880530-1005",""
"CuentaLocal","rublan","True","","2026-05-18","85","2023-11-09","1006",,"True","S-1-5-21-2969368601-2643879877-1254880530-1009",""
"CuentaLocal","svalle","True","","2026-08-12","0","2026-08-10","1",,"False","S-1-5-21-2969368601-2643879877-1254880530-1019",""
"CuentaLocal","WDAGUtilityAccount","False","A user account managed and used by the system for Windows Defender Application Guard scenarios.","Nunca",,"2022-06-14","1519",,"True","S-1-5-21-2969368601-2643879877-1254880530-504",""
"MiembroDeGrupo","SRV-SAP\Administrator","True","Miembro de: Administrators","",,"",,,,"S-1-5-21-2969368601-2643879877-1254880530-500","User"
"MiembroDeGrupo","SRV-SAP\conta.seno","True","Miembro de: Administrators","",,"",,,,"S-1-5-21-2969368601-2643879877-1254880530-1010","User"
"MiembroDeGrupo","SRV-SAP\db_replica","True","Miembro de: Administrators","",,"",,,,"S-1-5-21-2969368601-2643879877-1254880530-1018","User"
"MiembroDeGrupo","SRV-SAP\edson.cuque","True","Miembro de: Administrators","",,"",,,,"S-1-5-21-2969368601-2643879877-1254880530-1013","User"
"MiembroDeGrupo","SRV-SAP\jefedesarrollo","True","Miembro de: Administrators","",,"",,,,"S-1-5-21-2969368601-2643879877-1254880530-1005","User"
"MiembroDeGrupo","SRV-SAP\rublan","True","Miembro de: Administrators","",,"",,,,"S-1-5-21-2969368601-2643879877-1254880530-1009","User"
"MiembroDeGrupo","SRV-SAP\db_replica","True","Miembro de: Remote Desktop Users","",,"",,,,"S-1-5-21-2969368601-2643879877-1254880530-1018","User"
"MiembroDeGrupo","SRV-SAP\svalle","True","Miembro de: Remote Desktop Users","",,"",,,,"S-1-5-21-2969368601-2643879877-1254880530-1019","User"
"PoliticaContrasena","Force user logoff how long after time expires?",,"Never","",,"",,,,"","net accounts"
"PoliticaContrasena","Minimum password age (days)",,"1","",,"",,,,"","net accounts"
"PoliticaContrasena","Maximum password age (days)",,"30","",,"",,,,"","net accounts"
"PoliticaContrasena","Minimum password length",,"7","",,"",,,,"","net accounts"
"PoliticaContrasena","Length of password history maintained",,"24","",,"",,,,"","net accounts"
"PoliticaContrasena","Lockout threshold",,"Never","",,"",,,,"","net accounts"
"PoliticaContrasena","Lockout duration (minutes)",,"30","",,"",,,,"","net accounts"
"PoliticaContrasena","Lockout observation window (minutes)",,"30","",,"",,,,"","net accounts"
"PoliticaContrasena","Computer role",,"SERVER","",,"",,,,"","net accounts"
"AccesoRemoto","RDP","True","NLA=0 SecurityLayer=2","",,"",,,,"","Registro Terminal Server"
