"Tipo","Nombre","Dominio","Fabricante","Modelo","TipoChasis","Virtualizacion","NumeroSerie","BiosVersion","BiosFecha","ProcesadoresFisicos","ProcesadoresLogicos","MemoriaTotalGB","RolDominio","PartOfDomain"
"Sistema","SRV-SAP","WORKGROUP","OpenStack Foundation","OpenStack Nova","Otro","Fisico","db1ad544-a431-4ea0-868d-f3f67ee65cc2","BOCHS  - 1 Intel IGD BDSM enabled at 0x%08x, size %lldMB, dev 00:02.0","3/31/2014 6:00:00 PM","1","16","128","2","False"
"CPU","Intel(R) Xeon(R) Gold 6266C CPU @ 3.00GHz",,"GenuineIntel",,,,,,,,,,,
"Memoria","DIMM 0",,"QEMU",,,,"",,,,,,,
"Memoria","DIMM 1",,"QEMU",,,,"",,,,,,,
"Memoria","DIMM 2",,"QEMU",,,,"",,,,,,,
"Memoria","DIMM 3",,"QEMU",,,,"",,,,,,,
"Memoria","DIMM 4",,"QEMU",,,,"",,,,,,,
"Memoria","DIMM 5",,"QEMU",,,,"",,,,,,,
"Memoria","DIMM 6",,"QEMU",,,,"",,,,,,,
"Memoria","DIMM 7",,"QEMU",,,,"",,,,,,,
"DiscoFisico","Red Hat VirtIO SCSI Disk Device",,,,,,"24b18cae-8034-49bd-9",,,,,,,
"DiscoFisico","Red Hat VirtIO SCSI Disk Device",,,,,,"047ca552-a41e-40e3-8",,,,,,,
"DiscoFisico","Red Hat VirtIO SCSI Disk Device",,,,,,"b0039137-c406-494a-a",,,,,,,
"DiscoFisico","Red Hat VirtIO SCSI Disk Device",,,,,,"d141434b-38f1-4f66-b",,,,,,,
"DiscoFisico","Red Hat VirtIO SCSI Disk Device",,,,,,"f509fe7a-8232-4b40-8",,,,,,,
"DiscoFisico","Red Hat VirtIO SCSI Disk Device",,,,,,"0d7a356e-7855-4946-8",,,,,,,
"Volumen","C:",,,,,,,,,,,,,
"Volumen","D:",,,,,,,,,,,,,
"Volumen","E:",,,,,,,,,,,,,
"Volumen","F:",,,,,,,,,,,,,
"Volumen","G:",,,,,,,,,,,,,
"Volumen","I:",,,,,,,,,,,,,
"AdaptadorRed","Red Hat VirtIO Ethernet Adapter",,,,,,,,,,,,,
