"Control","Elemento","Valor","Esperado","Estado"
"A.8.7","Antimalware","Microsoft Defender","Presente y activo","OK"
"A.8.7","ProteccionTiempoReal","True","True","OK"
"A.8.7","AntimalwareHabilitado","True","True","OK"
"A.8.7","VersionFirmas","1.457.118.0","","Info"
"A.8.7","EdadFirmasDias","0","<= 3","OK"
"A.8.7","UltimoEscaneoCompleto","","","Info"
"A.8.7","ProteccionManipulacion","True","True","OK"
"A.8.7","ExclusionesDefinidas","3","<= 10 justificadas","Info"
"A.8.7","ExclusionRuta","N/A: Must be an administrator to view exclusions","","Info"
"A.8.20","Firewall-Domain","False","True","FALLA"
"A.8.20","FirewallEntrante-Domain","NotConfigured","Block","ADVERTENCIA"
"A.8.15","FirewallLog-Domain","False","True","ADVERTENCIA"
"A.8.20","Firewall-Private","False","True","FALLA"
"A.8.20","FirewallEntrante-Private","NotConfigured","Block","ADVERTENCIA"
"A.8.15","FirewallLog-Private","False","True","ADVERTENCIA"
"A.8.20","Firewall-Public","False","True","FALLA"
"A.8.20","FirewallEntrante-Public","NotConfigured","Block","ADVERTENCIA"
"A.8.15","FirewallLog-Public","False","True","ADVERTENCIA"
"A.8.9","EnableLUA","1","1","OK"
"A.8.9","ConsentPromptBehaviorAdmin","5","2","FALLA"
"A.8.9","RunAsPPL","(no definido)","1","NO DEFINIDO"
"A.8.5","LimitBlankPasswordUse","1","1","OK"
"A.8.24","NoLMHash","1","1","OK"
"A.8.21","SMB1","(no definido)","0","NO DEFINIDO"
"A.8.21","RequireSecuritySignature","0","1","FALLA"
"A.8.15","EnableScriptBlockLogging","(no definido)","1","NO DEFINIDO"
"A.8.15","EnableModuleLogging","(no definido)","1","NO DEFINIDO"
"A.8.24","SChannel TLS 1.0 (Server)","Enabled=0 DisabledByDefault=1","","Info"
"A.8.24","SChannel TLS 1.0 (Client)","Enabled=0 DisabledByDefault=1","","Info"
"A.8.24","SChannel TLS 1.1 (Server)","Enabled=0 DisabledByDefault=1","","Info"
"A.8.24","SChannel TLS 1.1 (Client)","Enabled=0 DisabledByDefault=1","","Info"
