"Ruta","Nombre","Extension","TamanoKB","UltimaEscritura","Creado","EstadoFirma","Firmante","Compania","Producto","VersionArchivo","SHA256","Clasificacion","EnRutaGestionada"
"C:\Scripts\Audit\bootstrap.ps1","bootstrap.ps1",".ps1","3.1","2026-08-11 12:04","2026-08-11","NotSigned","","","","","CD17C6B555F761D60373659824BF805E1510538226E4C7028E19D7494937A333","Sin firma digital","False"
"C:\Scripts\Audit\Invoke-Audit.ps1","Invoke-Audit.ps1",".ps1","25.5","2026-08-17 10:55","2026-08-17","NotSigned","","","","","8F847724716CA56F1D80BD8EA3EF942ABD4A301640F7353A658E7D69F9851674","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L1-01_Hardware-Inventory.ps1","L1-01_Hardware-Inventory.ps1",".ps1","9.8","2026-08-12 12:52","2026-08-11","NotSigned","","","","","14FF480DE7D7A37B96DC9818B43F94574B7E0468E50F67C31843D2E0609EA447","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L2-01_OS-Baseline.ps1","L2-01_OS-Baseline.ps1",".ps1","10.7","2026-08-12 12:50","2026-08-11","NotSigned","","","","","2E2FEAA67FF8C1838AE51144A5E0351C517FBCCFFAF882D67F692FF5D4074014","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L2-02_Patch-Level.ps1","L2-02_Patch-Level.ps1",".ps1","9.2","2026-08-12 12:50","2026-08-11","NotSigned","","","","","60D6C1D3D8AB000CB725DE670CCD4B5929808769773C360720DDA9077D376546","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L2-03_Security-Config.ps1","L2-03_Security-Config.ps1",".ps1","19.1","2026-08-12 12:52","2026-08-11","NotSigned","","","","","85FEE0CF94D78165282119B9A2B7DCF689A8E471125080BD6C755A65B1B79BA0","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L3-01_Runtimes-Middleware.ps1","L3-01_Runtimes-Middleware.ps1",".ps1","13.9","2026-08-12 13:29","2026-08-11","NotSigned","","","","","A0CBD51654666E4D66E4E91412CB2F403D9CB446223EAC19346E1EEF08CBEA2A","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L4-01_Installed-Software.ps1","L4-01_Installed-Software.ps1",".ps1","15.6","2026-08-12 13:26","2026-08-11","NotSigned","","","","","1DD6C027EC953A54F0571D8FC7BA0D12CBE095E75A3CE5C5B21020F0FCDF2485","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L4-02_Package-Managers.ps1","L4-02_Package-Managers.ps1",".ps1","12.5","2026-08-12 13:26","2026-08-11","NotSigned","","","","","7440B9C03392F1A454081769CD39B1C42952990D73E00B7C28B222163C71153B","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L4-03_Unmanaged-Binaries.ps1","L4-03_Unmanaged-Binaries.ps1",".ps1","11","2026-08-12 13:26","2026-08-11","NotSigned","","","","","F8936FC29949AE1694528445F10141CD608BD96468E159311FA8AF22DFB25398","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L4-04_Software-Integrity.ps1","L4-04_Software-Integrity.ps1",".ps1","9.1","2026-08-12 13:26","2026-08-11","NotSigned","","","","","03F5173E7126AF4E31CE14C28402E7A8A6250D7C962720D5928FA9F39312C1E7","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L4-05_Software-Lifecycle.ps1","L4-05_Software-Lifecycle.ps1",".ps1","7.9","2026-08-12 13:29","2026-08-11","NotSigned","","","","","0422AF18E3CAC8173C1E5E7F240E04786BE307949F97E653A20B98BB9C437CB1","Sin firma digital","False"
