"Tipo","Nombre","Comando","Contexto","Estado","Origen","Notas"
"TareaProgramada","\OneDrive Per-Machine Standalone Update Task","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe","SYSTEM [Highest]","Ready","Terceros",""
"TareaProgramada","\OneDrive Reporting Task-S-1-5-21-2969368601-2643879877-1254880530-1019","C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe /reporting","svalle [Limited]","Ready","Terceros",""
"TareaProgramada","\OneDrive Startup Task-S-1-5-21-2969368601-2643879877-1254880530-1019","C:\Program Files\Microsoft OneDrive\26.134.0713.0007\OneDriveLauncher.exe /startInstances","svalle [Limited]","Ready","Terceros",""
"TareaProgramada","\Microsoft\VisualStudio\Updates\BackgroundDownload","C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\BackgroundDownload.exe","Administrator [Limited]","Ready","Sistema",""
"TareaProgramada","\Microsoft\Windows\Server Initial Configuration Task","%windir%\system32\srvinitconfig.exe /disableconfigtask","SYSTEM [Highest]","Disabled","Sistema","$(@%systemroot%\system32\SrvInitConfig.exe,-101)"
"TareaProgramada","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319","","SYSTEM [Limited]","Ready","Sistema",""
"TareaProgramada","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64","","SYSTEM [Limited]","Ready","Sistema",""
"TareaProgramada","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64 Critical","","SYSTEM [Limited]","Disabled","Sistema",""
"TareaProgramada","\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 Critical","","SYSTEM [Limited]","Disabled","Sistema",""
"TareaProgramada","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated)","","[Limited]","Disabled","Sistema","Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case, it fails silently."
"TareaProgramada","\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual)","","[Limited]","Ready","Sistema","Updates the AD RMS rights policy templates for the user. This job provides a credential prompt if authentication to the template distribution web service on the server fails."
"TareaProgramada","\Microsoft\Windows\AppID\PolicyConverter","%windir%\system32\appidpolicyconverter.exe","SYSTEM [Limited]","Disabled","Sistema","Converts the software restriction policies policy from XML into binary format."
"TareaProgramada","\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck","%windir%\system32\appidcertstorecheck.exe","LOCAL SERVICE [Limited]","Disabled","Sistema","Inspects the AppID certificate cache for invalid or revoked certificates."
"TareaProgramada","\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser","%windir%\system32\compattelrunner.exe","SYSTEM [Limited]","Ready","Sistema","Collects program telemetry information if opted-in to the Microsoft Customer Experience Improvement Program."
"TareaProgramada","\Microsoft\Windows\Application Experience\PcaPatchDbTask","%windir%\system32\rundll32.exe %windir%\system32\PcaSvc.dll,PcaPatchSdbTask","SYSTEM [Limited]","Ready","Sistema","Updates compatibility database"
