"Categoria","Elemento","Valor","Detalle","Estado"
"RegistroEventos","Security","No accesible","Could not retrieve information about the Security log. Error: Attempted to perform an unauthorized operation..","N/D"
"RegistroEventos","System","Habilitado","MaxMB=20 UsadoMB=20 Modo=Circular Registros=60661","OK"
"RegistroEventos","Application","Habilitado","MaxMB=20 UsadoMB=20 Modo=Circular Registros=50090","OK"
"RegistroEventos","Windows PowerShell","Habilitado","MaxMB=15 UsadoMB=15 Modo=Circular Registros=700","OK"
"RegistroEventos","Microsoft-Windows-PowerShell/Operational","Habilitado","MaxMB=15 UsadoMB=15 Modo=Circular Registros=967","OK"
"RegistroEventos","Microsoft-Windows-Windows Defender/Operational","Habilitado","MaxMB=16 UsadoMB=16 Modo=Circular Registros=17416","OK"
"RegistroEventos","Microsoft-Windows-TaskScheduler/Operational","Deshabilitado","MaxMB=10 UsadoMB=10 Modo=Circular Registros=17527","FALLA"
"RegistroEventos","ReenvioCentralizado(WEF)","No configurado","","ADVERTENCIA"
"Respaldo","Servicio wbengine","No instalado","Windows Server Backup no presente","Info"
"Capacidad","Volumen C:","11.6% libre","40.48 GB libres de 349.9 GB","ADVERTENCIA"
"Capacidad","Volumen D:","79.3% libre","7.92 GB libres de 10 GB","OK"
"Capacidad","Volumen E:","26.2% libre","210 GB libres de 800 GB","OK"
"Capacidad","Volumen F:","61% libre","103.65 GB libres de 170 GB","OK"
"Capacidad","Volumen G:","30.5% libre","152.72 GB libres de 500 GB","OK"
"Capacidad","Volumen I:","91.8% libre","41.32 GB libres de 45 GB","OK"
"Temporales","C:\Windows\Temp","0 archivos, 0 MB","0 con mas de 90 dias","OK"
"Temporales","C:\Users\svalle\AppData\Local\Temp\4","16 archivos, 28.8 MB","0 con mas de 90 dias","OK"
